需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注
CM-027,品类管理,移动端横向滚动,功能,§页面层级/细粒度-品类管理,移动端横向滚动。,品类页可达；依赖满足条目中说明。,窄屏下树区域可横向滚动或折行（不溢出）。,P2,草稿,,
CM-028,品类管理,操作日志关闭后再次打开刷新,功能,§页面层级/细粒度-品类管理,操作日志关闭后再次打开刷新。,品类页可达；依赖满足条目中说明。,关闭再打开可看到新同步写入的日志。,P1,草稿,,
CM-029,品类管理,并发修改-他页更新品类后返回刷新,功能,§页面层级/细粒度-品类管理,并发修改-他页更新品类后返回刷新。,品类页可达；依赖满足条目中说明。,离开再回读最新 Mock。,P2,草稿,,
CM-030,品类管理,边界-空品类树,功能,§页面层级/细粒度-品类管理,边界-空品类树。,品类页可达；依赖满足条目中说明。,industries 为空时统计为 0 且树区空态。,P1,草稿,,
CM-031,品类管理,边界-单节点深层级,功能,§页面层级/细粒度-品类管理,边界-单节点深层级。,品类页可达；依赖满足条目中说明。,三级链完整时可逐级展开到底。,P2,草稿,,
CM-032,品类管理,快捷键-搜索框清空,功能,§页面层级/细粒度-品类管理,快捷键-搜索框清空。,品类页可达；依赖满足条目中说明。,清空输入恢复全树。,P3,草稿,,
CM-033,品类管理,术语-与资源范本品类选择同源,功能,§页面层级/细粒度-品类管理,术语-与资源范本品类选择同源。,品类页可达；依赖满足条目中说明。,品类名称与各页筛选下拉同一数据源。,P1,草稿,,
CM-034,品类管理,审计-detail 字段承载同步说明,功能,§页面层级/细粒度-品类管理,审计-detail 字段承载同步说明。,品类页可达；依赖满足条目中说明。,detail 写入服务端返回 message 或默认文案。,P2,草稿,,
CM-035,品类管理,加载图标-RotateCw 旋转动画,功能,§页面层级/细粒度-品类管理,加载图标-RotateCw 旋转动画。,品类页可达；依赖满足条目中说明。,同步中图标旋转或文案「同步中」。,P2,草稿,,
CM-036,品类管理,失败-网络异常兜底文案,功能,§页面层级/细粒度-品类管理,失败-网络异常兜底文案。,品类页可达；依赖满足条目中说明。,catch 展示「同步失败，请稍后重试」类兜底。,P1,草稿,,
CM-037,品类管理,统计卡配色与可读性,功能,§页面层级/细粒度-品类管理,统计卡配色与可读性。,品类页可达；依赖满足条目中说明。,三张卡配色区分且对比度合格（人工抽检）。,P3,草稿,,
CM-038,品类管理,树节点 hover 反馈,功能,§页面层级/细粒度-品类管理,树节点 hover 反馈。,品类页可达；依赖满足条目中说明。,可点击区域有 hover 背景。,P3,草稿,,
CM-039,品类管理,与全局加载冲突,功能,§页面层级/细粒度-品类管理,与全局加载冲突。,品类页可达；依赖满足条目中说明。,同步不使用全局遮罩时按钮自有 loading（现状）。,P3,草稿,,
CM-040,品类管理,预留-接入审批流（非本期）,功能,§页面层级/细粒度-品类管理,预留-接入审批流（非本期）。,品类页可达；依赖满足条目中说明。,本期不验收；占位说明范围。,P3,草稿,,
RM-001,资源管理,资源管理-综述-草稿发布绑定删除日志,功能,§页面层级-资源管理（一级分组）-综述,实现「资源管理-综述-草稿发布绑定删除日志」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-002,资源管理,资源-业务流程-子菜单进入与列表详情区,功能,§页面层级-资源管理-业务流程-1,实现「资源-业务流程-子菜单进入与列表详情区」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-003,资源管理,资源-业务流程-新建或编辑与草稿发布,功能,§页面层级-资源管理-业务流程-3,实现「资源-业务流程-新建或编辑与草稿发布」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-004,资源管理,资源-业务流程-绑定章节确认引用,功能,§页面层级-资源管理-业务流程-4,实现「资源-业务流程-绑定章节确认引用」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-005,资源管理,资源-业务流程-资源行日志分页,功能,§页面层级-资源管理-业务流程-5,实现「资源-业务流程-资源行日志分页」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-006,资源管理,文本管理-综述,功能,§页面层级-文本管理-综述,实现「文本管理-综述」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-007,资源管理,文本管理-业务流程-新建与草稿发布,功能,§页面层级-文本管理-业务流程-1～2,实现「文本管理-业务流程-新建与草稿发布」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-008,资源管理,文本管理-业务流程-绑定与非归档范本联动,功能,§页面层级-文本管理-业务流程-3～4,实现「文本管理-业务流程-绑定与非归档范本联动」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-009,资源管理,文本管理-业务流程-日志与删除,功能,§页面层级-文本管理-业务流程-5,实现「文本管理-业务流程-日志与删除」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-010,资源管理,资格条件管理-综述,功能,§页面层级-资格条件管理-综述,实现「资格条件管理-综述」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-011,资源管理,资格条件-业务流程-新建编辑发布绑定日志删除,功能,§页面层级-资格条件管理-业务流程,实现「资格条件-业务流程-新建编辑发布绑定日志删除」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-012,资源管理,评标办法管理-综述,功能,§页面层级-评标办法管理-综述,实现「评标办法管理-综述」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-013,资源管理,评标办法-业务流程-新建编辑发布绑定日志,功能,§页面层级-评标办法管理-业务流程,实现「评标办法-业务流程-新建编辑发布绑定日志」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-014,资源管理,合同条款管理-综述,功能,§页面层级-合同条款管理-综述,实现「合同条款管理-综述」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-015,资源管理,合同条款-业务流程-新建编辑发布绑定删除,功能,§页面层级-合同条款管理-业务流程,实现「合同条款-业务流程-新建编辑发布绑定删除」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-016,资源管理,细粒度-新建资源,功能,§细粒度-资源管理-点击「新建资源」,实现「细粒度-新建资源」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-017,资源管理,细粒度-保存草稿,功能,§细粒度-资源管理-点击「保存草稿」,实现「细粒度-保存草稿」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-018,资源管理,细粒度-发布,功能,§细粒度-资源管理-点击「发布」,实现「细粒度-发布」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-019,资源管理,细粒度-绑定章节,功能,§细粒度-资源管理-点击「绑定章节」,实现「细粒度-绑定章节」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-020,资源管理,细粒度-确认绑定,功能,§细粒度-资源管理-点击「确认绑定」,实现「细粒度-确认绑定」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-021,资源管理,细粒度-解绑,功能,§细粒度-资源管理-点击「解绑」,实现「细粒度-解绑」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-022,资源管理,细粒度-删除资源,功能,§细粒度-资源管理-点击「删除资源」,实现「细粒度-删除资源」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
RM-023,资源管理,细粒度-资源操作日志,功能,§细粒度-资源管理-点击「资源操作日志」,实现「细粒度-资源操作日志」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-001,范本管理,范本管理-综述-全生命周期与导入编辑预览下载,功能,§页面层级-范本管理-综述,实现「范本管理-综述-全生命周期与导入编辑预览下载」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-002,范本管理,范本-业务流程-筛选搜索定位,功能,§页面层级-范本管理-业务流程-1,实现「范本-业务流程-筛选搜索定位」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-003,范本管理,范本-业务流程-新建或导入创建草稿,功能,§页面层级-范本管理-业务流程-2,实现「范本-业务流程-新建或导入创建草稿」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-004,范本管理,范本-业务流程-编辑进入在线编辑器,功能,§页面层级-范本管理-业务流程-3,实现「范本-业务流程-编辑进入在线编辑器」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-005,范本管理,范本-业务流程-保存并返回更新范本,功能,§页面层级-范本管理-业务流程-4,实现「范本-业务流程-保存并返回更新范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-006,范本管理,范本-业务流程-发布预览下载日志删除,功能,§页面层级-范本管理-业务流程-5,实现「范本-业务流程-发布预览下载日志删除」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-007,范本管理,细粒度-新建范本,功能,§细粒度-范本管理-点击「新建范本」,实现「细粒度-新建范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-008,范本管理,细粒度-导入文档-预览解析,功能,§细粒度-范本管理-导入文档-预览,实现「细粒度-导入文档-预览解析」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-009,范本管理,细粒度-导入文档-确认导入并编辑,功能,§细粒度-范本管理-导入文档-确认导入,实现「细粒度-导入文档-确认导入并编辑」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-010,范本管理,细粒度-范本列表筛选,功能,§细粒度-范本管理-范本列表筛选,实现「细粒度-范本列表筛选」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-011,范本管理,细粒度-范本发布,功能,§细粒度-范本管理-点击「发布」,实现「细粒度-范本发布」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-012,范本管理,细粒度-范本编辑-WPS WebOffice,功能,§细粒度-范本管理-点击「编辑」,实现「细粒度-范本编辑-WPS WebOffice」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-013,范本管理,细粒度-保存并返回,功能,§细粒度-范本管理-点击「保存并返回」,实现「细粒度-保存并返回」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-014,范本管理,细粒度-范本预览,功能,§细粒度-范本管理-点击「预览」,实现「细粒度-范本预览」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-015,范本管理,细粒度-范本下载,功能,§细粒度-范本管理-点击「下载」,实现「细粒度-范本下载」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-016,范本管理,细粒度-删除范本,功能,§细粒度-范本管理-点击「删除范本」,实现「细粒度-删除范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-017,范本管理,细粒度-范本操作日志,功能,§细粒度-范本管理-点击「范本操作日志」,实现「细粒度-范本操作日志」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
