需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注,变更标注
DB-019,数据看板,本期范围-招标文件统计展示但不强制 PRD 验收,范围,§细粒度-数据看板（备注）,PRD 写明本期统计可不包含招标文件维度；界面若展示则需标注为实现扩展。,产品范围基线已确认。,范围评审记录或需求备注可追溯；测试用例标注可选。,P2,草稿,,,
DB-020,数据看板,可访问性-待办区标题层级,非功能,§公共交互规范,待办与快捷操作使用清晰标题便于扫描。,无。,主要区块具备可视标题（手工检查）。,P3,草稿,,,
CM-001,品类管理,品类管理-综述-三级树与同步日志能力,功能,§页面层级-品类管理-综述,维护产业领域→采购分类→品类三级结构；提供同步拉取与同步操作日志追溯。,菜单「品类管理」可见。,页面标题与综述文案可见；树与右上入口符合业务流程描述。,P0,草稿,,,
CM-002,品类管理,品类-业务流程-进入页面加载树与统计卡,功能,§页面层级-品类管理-业务流程-1,进入页面后加载三级树及产业/采购分类/品类统计卡。,Mock 品类树可读。,三张统计卡数字与树遍历计数一致。,P0,草稿,,,
CM-003,品类管理,品类-业务流程-展开产业领域与采购分类,功能,§页面层级-品类管理-业务流程-2,点击展开图标展开下级产业领域或采购分类节点。,节点存在子级。,展开后子节点显示；折叠后隐藏（本地状态）。,P0,草稿,,,
CM-004,品类管理,品类-业务流程-搜索框实时过滤,功能,§页面层级-品类管理-业务流程-3,顶部搜索关键字实时过滤产业、采购分类、品类名称。,树非空。,输入关键字后仅展示匹配分支；清空恢复全量。,P0,草稿,,,
CM-005,品类管理,品类-业务流程-同步信息拉取品类,功能,§页面层级-品类管理-业务流程-4,点击「同步信息」进入加载态并调用 POST /api/categories/sync 更新树数据。,接口可达或本地 Mock 返回 success。,成功后树与统计更新；失败保留原数据并提示（PRD 失败处理）。,P0,草稿,,,
CM-006,品类管理,品类-业务流程-操作日志弹窗分页,功能,§页面层级-品类管理-业务流程-5,点击「操作日志」打开弹窗展示 category/sync 相关审计日志并支持分页。,审计写入链路可用。,弹窗可调阅；无记录时空态；分页控件可用（见 OperationLogDialog）。,P0,草稿,,,
CM-007,品类管理,细粒度-点击同步信息,功能,§细粒度-品类管理-点击「同步信息」,同步前检查未在同步中；按钮 loading；成功后写审计、展示 message。,当前不在 syncing。,与 PRD「成功结果/失败处理」一致；返回结构校验失败有提示。,P0,草稿,,,
CM-008,品类管理,细粒度-点击操作日志,功能,§细粒度-品类管理-点击「操作日志」,打开日志弹窗并按时间倒序加载 category 范围日志。,无。,空列表显示「暂无记录」类空态（PRD）。,P0,草稿,,,
CM-009,品类管理,细粒度-树节点展开/折叠,功能,§细粒度-品类管理-树节点展开/折叠,展开图标切换产业领域或采购分类子树显隐。,存在子级。,切换仅影响本地展开集合；无请求副作用。,P0,草稿,,,
CM-010,品类管理,统计卡-产业领域数量展示,功能,§页面层级-品类管理-业务流程-1,第一张统计卡展示产业领域总数。,industries 数组可读。,数字等于顶层 Industry 数量。,P1,草稿,,,
CM-011,品类管理,统计卡-采购分类数量展示,功能,§页面层级-品类管理-业务流程-1,第二张统计卡汇总全部采购分类节点数量。,树非空。,与遍历 procurementCategories 计数一致。,P1,草稿,,,
CM-012,品类管理,统计卡-品类（叶子）数量展示,功能,§页面层级-品类管理-业务流程-1,第三张统计卡汇总品类叶子节点总数。,树非空。,与叶子 Category 计数一致。,P1,草稿,,,
CM-013,品类管理,同步结果横幅/文案提示,功能,实现-CategoryPage,同步结束在页面顶部展示同步结果或错误文案（syncMessage）。,执行过一次同步。,成功/失败均有可读反馈；失败不修改本地树数据。,P1,草稿,,,
CM-014,品类管理,同步成功写入审计-scope category,规则,§规则3 & §细粒度-同步信息,"同步成功后追加 DataAuditEntry（scope=category, action=sync）。",appendDataAudit 可用。,操作日志弹窗可见对应条目字段。,P1,草稿,,,
CM-015,品类管理,同步中禁用重复提交,规则,§细粒度-品类管理-点击「同步信息」,syncing 为真时按钮禁用或不可重复触发同步。,网络延迟可模拟。,同步过程中按钮为 loading/disabled。,P1,草稿,,,
CM-016,品类管理,树排序展示-sortIndustryTreeForDisplay,规则,实现-sortIndustryTreeForDisplay,过滤后的树按既定规则排序展示，保证稳定性。,搜索过滤激活。,同输入下列表顺序稳定可复现。,P2,草稿,,,
CM-017,品类管理,搜索无匹配时的空树展示,功能,§页面层级-品类管理-业务流程-3,关键字无匹配时树区域为空或展示约定空态。,可输入不存在关键字。,不出现错误崩溃；用户能理解无结果。,P2,草稿,,,
CM-018,品类管理,品类叶子节点展示名称与描述,功能,§页面层级-品类管理,叶子品类展示名称及可选描述文案。,品类节点含描述字段。,与数据结构一致；折行显示正常。,P2,草稿,,,
CM-019,品类管理,展开状态持久（会话内）,规则,实现-default expanded sets,默认展开示例节点；用户折叠展开仅在会话内保持。,刷新页面。,刷新后恢复默认展开策略（按实现文档）。,P3,草稿,,,
CM-020,品类管理,页面标题与副标题说明,功能,§页面层级-品类管理-综述,展示「品类管理」标题及三级层级说明文案。,无。,文案与 PRD 术语一致（产业领域/采购分类/品类）。,P2,草稿,,,
CM-021,品类管理,集成-同步接口返回 industries 替换本地,功能,§页面层级/细粒度-品类管理,集成-同步接口返回 industries 替换本地。,品类页可达；依赖满足条目中说明。,接口返回 success 且 industries 为数组时替换 setMockIndustries。,P1,草稿,,,
CM-022,品类管理,集成-同步 HTTP 非 2xx 错误提示,功能,§页面层级/细粒度-品类管理,集成-同步 HTTP 非 2xx 错误提示。,品类页可达；依赖满足条目中说明。,HTTP 错误抛出并可读提示。,P1,草稿,,,
CM-023,品类管理,集成-同步返回体格式非法提示,功能,§页面层级/细粒度-品类管理,集成-同步返回体格式非法提示。,品类页可达；依赖满足条目中说明。,success 假或 industries 非数组时提示格式错误。,P1,草稿,,,
CM-024,品类管理,日志弹窗标题与 scope 过滤,功能,§页面层级/细粒度-品类管理,日志弹窗标题与 scope 过滤。,品类页可达；依赖满足条目中说明。,弹窗标题「品类同步操作日志」；仅展示 category 范围日志。,P1,草稿,,,
CM-025,品类管理,树图标与层级缩进,功能,§页面层级/细粒度-品类管理,树图标与层级缩进。,品类页可达；依赖满足条目中说明。,采购分类与品类层级视觉上可区分（图标或缩进）。,P2,草稿,,,
CM-026,品类管理,搜索大小写策略,功能,§页面层级/细粒度-品类管理,搜索大小写策略。,品类页可达；依赖满足条目中说明。,当前实现为包含匹配；验收备注大小写敏感规则。,P2,草稿,,,
CM-027,品类管理,移动端横向滚动,功能,§页面层级/细粒度-品类管理,移动端横向滚动。,品类页可达；依赖满足条目中说明。,窄屏下树区域可横向滚动或折行（不溢出）。,P2,草稿,,,
CM-028,品类管理,操作日志关闭后再次打开刷新,功能,§页面层级/细粒度-品类管理,操作日志关闭后再次打开刷新。,品类页可达；依赖满足条目中说明。,关闭再打开可看到新同步写入的日志。,P1,草稿,,,
CM-029,品类管理,并发修改-他页更新品类后返回刷新,功能,§页面层级/细粒度-品类管理,并发修改-他页更新品类后返回刷新。,品类页可达；依赖满足条目中说明。,离开再回读最新 Mock。,P2,草稿,,,
CM-030,品类管理,边界-空品类树,功能,§页面层级/细粒度-品类管理,边界-空品类树。,品类页可达；依赖满足条目中说明。,industries 为空时统计为 0 且树区空态。,P1,草稿,,,
CM-031,品类管理,边界-单节点深层级,功能,§页面层级/细粒度-品类管理,边界-单节点深层级。,品类页可达；依赖满足条目中说明。,三级链完整时可逐级展开到底。,P2,草稿,,,
CM-032,品类管理,快捷键-搜索框清空,功能,§页面层级/细粒度-品类管理,快捷键-搜索框清空。,品类页可达；依赖满足条目中说明。,清空输入恢复全树。,P3,草稿,,,
CM-033,品类管理,术语-与资源范本品类选择同源,功能,§页面层级/细粒度-品类管理,术语-与资源范本品类选择同源。,品类页可达；依赖满足条目中说明。,品类名称与各页筛选下拉同一数据源。,P1,草稿,,,
CM-034,品类管理,审计-detail 字段承载同步说明,功能,§页面层级/细粒度-品类管理,审计-detail 字段承载同步说明。,品类页可达；依赖满足条目中说明。,detail 写入服务端返回 message 或默认文案。,P2,草稿,,,
CM-035,品类管理,加载图标-RotateCw 旋转动画,功能,§页面层级/细粒度-品类管理,加载图标-RotateCw 旋转动画。,品类页可达；依赖满足条目中说明。,同步中图标旋转或文案「同步中」。,P2,草稿,,,
CM-036,品类管理,失败-网络异常兜底文案,功能,§页面层级/细粒度-品类管理,失败-网络异常兜底文案。,品类页可达；依赖满足条目中说明。,catch 展示「同步失败，请稍后重试」类兜底。,P1,草稿,,,
CM-037,品类管理,统计卡配色与可读性,功能,§页面层级/细粒度-品类管理,统计卡配色与可读性。,品类页可达；依赖满足条目中说明。,三张卡配色区分且对比度合格（人工抽检）。,P3,草稿,,,
CM-038,品类管理,树节点 hover 反馈,功能,§页面层级/细粒度-品类管理,树节点 hover 反馈。,品类页可达；依赖满足条目中说明。,可点击区域有 hover 背景。,P3,草稿,,,
CM-039,品类管理,与全局加载冲突,功能,§页面层级/细粒度-品类管理,与全局加载冲突。,品类页可达；依赖满足条目中说明。,同步不使用全局遮罩时按钮自有 loading（现状）。,P3,草稿,,,
CM-040,品类管理,预留-接入审批流（非本期）,功能,§页面层级/细粒度-品类管理,预留-接入审批流（非本期）。,品类页可达；依赖满足条目中说明。,本期不验收；占位说明范围。,P3,草稿,,,
RM-001,资源管理,资源管理-综述-单稿保存同步品类与审计,功能,§页面层级-资源管理（一级分组）-综述,资源四类及范本变量：正文**单稿保存即生效**（无独立草稿/发布枚举）；**适用品类范围**；与范本联动依赖「同步到所有范本」及 WPS 侧栏插入；删除与日志。,相关菜单可达；Mock 可读。,与 PRD v2.0（2026-05-13～14）综述一致；无「仅发布后才可插入」的独立状态机验收。,P1,草稿,,对齐 PRD_v2.0.md,更新
RM-002,资源管理,资源-业务流程-子菜单进入与列表详情区,功能,§页面层级-资源管理-业务流程-1,实现「资源-业务流程-子菜单进入与列表详情区」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-003,资源管理,资源-业务流程-新建或编辑与保存单稿,功能,§页面层级-资源管理-业务流程-3,新建/编辑弹窗填写后点击**保存**持久化正文；维护 `contentVersion`/`versions` 痕迹（见 `normalizeTextFragment`）。,相关菜单可达。,保存后列表与详情展示最新稿；无「草稿/已发布」切换验收项。,P1,草稿,,PRD 2026-05-13,更新
RM-004,资源管理,资源-业务流程-范本侧栏插入建立关联,功能,§页面层级-资源管理-业务流程-4,资源与章节关联在**范本在线编辑侧栏**通过插入建立；资源管理内**不提供**「绑定章节」主流程。,WPS 编辑可达。,与 PRD v2 绑定入口描述一致；历史 `TextBinding` 数据只读展示可接受。,P1,草稿,,替代原「绑定章节确认」主流程,更新
RM-005,资源管理,资源-业务流程-资源行日志分页,功能,§页面层级-资源管理-业务流程-5,实现「资源-业务流程-资源行日志分页」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-006,资源管理,文本管理-综述,功能,§页面层级-文本管理-综述,实现「文本管理-综述」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-007,资源管理,文本管理-业务流程-新建编辑与保存,功能,§页面层级-文本管理-业务流程-1～2,文本：新建/编辑弹窗配置适用品类后**保存**；侧栏可插入；详情区「范本使用统计」默认收起等（见 `TextPage`）。,文本管理可达。,保存成功；统计区与分页行为与 PRD 2026-05-12～14 一致。,P1,草稿,,,更新
RM-008,资源管理,文本管理-业务流程-同步到所有范本,功能,§页面层级-文本管理-业务流程-3～4,用户触发「同步到所有范本」将当前资源 HTML 写入引用该资源的范本章节（`updateMockTemplateTextFragment`）；现行无「跳过已归档范本」分支。,存在引用该文本的范本。,同步后章节内容与资源稿一致；审计写入可追溯。,P1,草稿,,PRD 规则2 现行稿,更新
RM-009,资源管理,文本管理-业务流程-日志与删除,功能,§页面层级-文本管理-业务流程-5,实现「文本管理-业务流程-日志与删除」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-010,资源管理,资格条件管理-综述,功能,§页面层级-资格条件管理-综述,实现「资格条件管理-综述」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-011,资源管理,资格条件-业务流程-新建编辑保存日志删除,功能,§页面层级-资格条件管理-业务流程,资格条件：与文本模块同构——**保存**单稿、适用品类、侧栏插入、同步到范本、日志与删除。,资格条件管理可达。,与 PRD v2 资源子模块流程一致。,P1,草稿,,,更新
RM-012,资源管理,评标办法管理-综述,功能,§页面层级-评标办法管理-综述,实现「评标办法管理-综述」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-013,资源管理,评标办法-业务流程-新建编辑保存与日志,功能,§页面层级-评标办法管理-业务流程,评标办法：单稿保存、适用品类、侧栏插入、同步、日志。,评标办法管理可达。,与 PRD v2 一致。,P1,草稿,,,更新
RM-014,资源管理,合同条款管理-综述,功能,§页面层级-合同条款管理-综述,实现「合同条款管理-综述」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,更新
RM-015,资源管理,合同条款-业务流程-新建编辑保存与删除,功能,§页面层级-合同条款管理-业务流程,合同条款：单稿保存、适用品类、侧栏插入、同步、删除。,合同条款管理可达。,与 PRD v2 一致。,P1,草稿,,,更新
RM-016,资源管理,细粒度-新建资源,功能,§细粒度-资源管理-点击「新建资源」,各资源子模块点击「新建」打开弹窗；填写标题、适用品类、正文后保存。,资源子页可达。,弹窗校验与保存与 PRD 一致；无「保存草稿/发布」分键。,P1,草稿,,PRD 2026-05-13,更新
RM-017,资源管理,细粒度-资源弹窗-点击保存,功能,§细粒度-资源管理-点击「保存」,新建/编辑弹窗内**保存**将正文单稿写入 Mock；递增 `contentVersion` 等（见实现）。,弹窗已打开。,保存成功关闭或停留策略与实现一致；列表与详情刷新。,P1,草稿,,替代原「保存草稿」,更新
RM-018,资源管理,细粒度-资源详情-同步到所有范本,功能,§细粒度-资源管理-同步到所有范本,详情区触发同步：将当前资源 HTML 写入所有引用该资源的范本章节；写审计。,存在引用关系或 0 条时提示。,同步结果 message 可读；章节内容与资源一致。,P1,草稿,,PRD 规则2,更新
RM-019,资源管理,细粒度-适用品类范围,功能,§细粒度-资源管理-适用品类范围,新建/编辑通过 `CategoryScopePicker` 维护适用品类；与范本侧栏过滤一致。,品类树非空（或空态可接受）。,勾选/全选/清空与 PRD 描述一致；保存后回显正确。,P1,草稿,,,更新
RM-020,资源管理,细粒度-文本详情-范本使用统计与折叠,功能,§细粒度-文本管理-范本使用统计,「范本使用统计」**默认收起**；展开后分页；切换左侧资源行时重置为收起。,文本管理；多条资源。,默认折叠；切换资源后仍为折叠；条数不与表头重复统计冲突。,P2,草稿,,PRD 2026-05-12,更新
RM-021,资源管理,细粒度-适用品类树默认收起,功能,§细粒度-资源管理-适用品类范围,新建/编辑弹窗内适用品类树**默认收起**（与 `CategoryScopePicker` 一致）。,打开新建或编辑。,初始为收起；用户可展开勾选。,P2,草稿,,PRD 2026-05-12,更新
RM-022,资源管理,细粒度-删除资源,功能,§细粒度-资源管理-点击「删除资源」,删除前二次确认；删除后列表与绑定数据与实现一致。,存在可删资源。,确认后移除；取消无变更；高风险样式符合公共规范。,P1,草稿,,,更新
RM-023,资源管理,细粒度-资源操作日志,功能,§细粒度-资源管理-点击「资源操作日志」,行级「操作日志」打开弹窗；scope 过滤与分页与 `OperationLogDialog` 一致。,存在审计数据或空列表。,时间倒序；空态文案；关闭再开可见新记录。,P1,草稿,,,更新
RM-024,资源管理,范本变量管理-公共变量列表与分页,功能,§页面层级-范本变量管理,独立页维护与编辑器侧栏**同源**的公共变量；列表、新增/编辑/删除、**底部分页**；表头不与列表重复条数统计。,菜单「范本变量管理」可达。,CRUD 与分页与 `TemplateVariableManagementPage` 一致；与 WPS 侧栏变量列表一致。,P1,草稿,,PRD 2026-05-12,新增
TP-001,范本管理,范本管理-综述-草稿已发布与导入编辑预览下载,功能,§页面层级-范本管理-综述,范本生命周期：**草稿 / 已发布**（无「已归档」）；导入 Word、在线编辑（WPS）、保存、发布、预览、下载、日志、删除；**一键复制**（若有）。,范本管理可达。,状态枚举与 `Template.status` 一致；综述与 PRD v2 一致。,P1,草稿,,无范本归档态,更新
TP-002,范本管理,范本-业务流程-筛选搜索定位,功能,§页面层级-范本管理-业务流程-1,实现「范本-业务流程-筛选搜索定位」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-003,范本管理,范本-业务流程-新建或导入创建草稿态范本,功能,§页面层级-范本管理-业务流程-2,新建或导入生成 **`draft` 状态**范本；导入走预览确认链路。,范本管理可达。,新范本在列表为草稿；可进入编辑。,P1,草稿,,status=draft|published only,更新
TP-004,范本管理,范本-业务流程-编辑进入在线编辑器,功能,§页面层级-范本管理-业务流程-3,实现「范本-业务流程-编辑进入在线编辑器」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-005,范本管理,范本-业务流程-保存并返回更新范本,功能,§页面层级-范本管理-业务流程-4,实现「范本-业务流程-保存并返回更新范本」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-006,范本管理,范本-业务流程-发布预览下载一键复制日志删除,功能,§页面层级-范本管理-业务流程-5,行内：发布、预览、下载、**一键复制**（若 PRD 保留）、操作日志、删除；无「范本归档」动作。,存在范本行。,各动作可测；发布态与列表标签一致。,P1,草稿,,对齐 PRD 行内操作,更新
TP-007,范本管理,细粒度-新建范本,功能,§细粒度-范本管理-点击「新建范本」,实现「细粒度-新建范本」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-008,范本管理,细粒度-导入文档-预览解析,功能,§细粒度-范本管理-导入文档-预览,实现「细粒度-导入文档-预览解析」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-009,范本管理,细粒度-导入文档-确认导入并编辑,功能,§细粒度-范本管理-导入文档-确认导入,实现「细粒度-导入文档-确认导入并编辑」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-010,范本管理,细粒度-范本列表筛选,功能,§细粒度-范本管理-范本列表筛选,实现「细粒度-范本列表筛选」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,列表工具栏取消条数/页码摘要（2026-05 TemplatePage）,更新
TP-011,范本管理,细粒度-范本发布,功能,§细粒度-范本管理-点击「发布」,草稿范本发布为 **`published`**；发布后列表状态与标签更新；写审计（若实现）。,存在草稿范本。,状态变为已发布；不可违反 PRD 状态机。,P1,草稿,,,更新
TP-012,范本管理,细粒度-范本编辑-WPS WebOffice,功能,§细粒度-范本管理-点击「编辑」,打开 WPS WebOffice 全屏编辑；侧栏资源/变量；保存回调落盘；插入规则见 WE-004。,WPS 配置可用或 Mock。,可进入编辑；保存后章节数据回写 Mock。,P1,草稿,,WpsTemplateEditor,更新
TP-013,范本管理,细粒度-保存并返回,功能,§细粒度-范本管理-点击「保存并返回」,实现「细粒度-保存并返回」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-014,范本管理,细粒度-范本预览,功能,§细粒度-范本管理-点击「预览」,实现「细粒度-范本预览」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-015,范本管理,细粒度-范本下载,功能,§细粒度-范本管理-点击「下载」,实现「细粒度-范本下载」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-016,范本管理,细粒度-删除范本,功能,§细粒度-范本管理-点击「删除范本」,实现「细粒度-删除范本」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
TP-017,范本管理,细粒度-范本操作日志,功能,§细粒度-范本管理-点击「范本操作日志」,实现「细粒度-范本操作日志」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
